Mensagem,Bateria,Tag,Serial,Familia
19/06/2020 12:54:38,10.05,4081852,232-EZL2388,CAVALO
22/06/2020 09:12:54,59.06,4103998,77-CRY 9221,TOCO
18/11/2020 08:55:40,63.02,4067773,71-CRY 9223,TRUCK
24/08/2020 14:34:26,78.08,4104341,236-QPD3071,UTILITÁRIO
18/11/2020 08:37:03,39.58,4080188,72-CRY 9224,TRUCK
18/11/2020 08:17:52,74.74,4062713,99-DJE 8909,TRUCK
05/07/2020 20:23:48,74.74,4103925,1046-CZZ 9720,REBAIXADA
11/08/2020 18:15:42,52.97,4082690,1094-ABW 1361,REBAIXADA
18/11/2020 11:23:54,63.17,4093051,1101-BUP 2401,REBAIXADA
22/06/2020 12:31:14,68.5,4073683,1172-ELW 2031,REBAIXADA
18/09/2020 07:30:28,83.11,4084740,1213-FCB 9760,REBAIXADA
18/11/2020 09:18:14,89.8,4083473,68-CRY 9228,TRUCK
18/11/2020 08:30:47,73.06,4083773,181-EZL 8892,CAVALO
05/11/2020 14:34:41,73.37,4081018,1144-DTD 8298,TOTAL SIDER
30/10/2020 06:21:37,78.08,4083841,1041-CZX 6419,TOTAL SIDER
18/11/2020 13:55:11,78.08,4075706,201-EZL 8922,TRUCK
04/06/2020 04:07:10,72.76,4075002,210-EZL 2374,CAVALO
05/06/2020 00:17:09,41.86,4080206,1080-DTD 0719,ABERTA
18/11/2020 11:01:47,69.71,4093075,1192-FCB 6597,REBAIXADA
13/10/2020 22:00:04,27.1,4083740,1148-DTE 9367,ABERTA
18/11/2020 11:41:50,69.71,4096264,1158-EFV 2752,REBAIXADA
17/11/2020 20:52:08,74.74,4075511,1084-DTD 0728,ABERTA
13/08/2020 04:41:48,64.69,4084767,233-FVZ7169,CAVALO
18/11/2020 07:48:50,64.69,4068912,173-ELQ5513,CAVALO
18/11/2020 08:29:36,47.95,4084252,1051-CZZ 9640,TOTAL SIDER
18/11/2020 11:36:38,86.45,4064310,1152-DTD 8295,REBAIXADA
05/10/2020 07:07:35,56.32,4095297,1199-FCB 6607,REBAIXADA
19/10/2020 04:15:57,21.77,4093249,1198-FCB 6588,REBAIXADA
03/09/2020 05:34:59,82.04,4081953,1070-DJE 9050,REBAIXADA
18/11/2020 14:12:51,88.74,4081179,1177-ELW 2033,REBAIXADA
10/11/2020 21:11:53,42.93,4082255,1104-BUP 3023,REBAIXADA
18/11/2020 09:28:44,47.95,4082740,1033-CZX 1287,REBAIXADA
18/11/2020 09:56:45,84.78,4079891,208-FLZ 4810,CAVALO
